model,file,source,translation,reference
Llama 3.1 8B Instruct (API),02,Send and receive money with Zelle®,Envíe y reciba dinero con Zelle®,Envíe y reciba dinero con Zelle®
Llama 3.1 8B Instruct (API),02,Download our app,Descargar nuestra aplicación,Descargue nuestra app
Llama 3.1 8B Instruct (API),02,Serving our customers and communities,Atendiendo a nuestros clientes y comunidades,Sirviendo a nuestros clientes y a nuestras comunidades
Llama 3.1 8B Instruct (API),02,"It doesn't happen with one transaction, in one day on the job, or in one quarter. It's earned relationship by relationship.","No sucede con una sola transacción, en un solo día de trabajo o en un solo trimestre. Se gana relación a relación.","Eso no ocurre con una transacción, en un día de trabajo ni en un trimestre. Se logra relación por relación."
Llama 3.1 8B Instruct (API),02,Who we are,Quiénes somos,Quiénes somos
Llama 3.1 8B Instruct (API),02,"Wells Fargo helps strengthen communities through diversity, equity, and inclusion, economic empowerment, and sustainability.","Wells Fargo ayuda a fortalecer las comunidades a través de la diversidad, la equidad y la inclusión, el empoderamiento económico y la sostenibilidad.","Wells Fargo ayuda a fortalecer a las comunidades mediante la diversidad, la equidad, la inclusión, el fortalecimiento económico y la sustentabilidad."
Llama 3.1 8B Instruct (API),02,Why we're committed to communities,Por qué nos comprometemos con las comunidades,Por qué hemos asumido un compromiso con las comunidades
Llama 3.1 8B Instruct (API),02,We don't just serve our communities—we are our communities.,"No solo atendemos a nuestras comunidades, somos nuestras comunidades.",No solo les prestamos servicios a nuestras comunidades; somos nuestras comunidades.
Llama 3.1 8B Instruct (API),02,We're committed to helping customers and neighborhoods across the country thrive.,Estamos comprometidos con ayudar a los clientes y a los barrios en todo el país a prosperar.,Hemos asumido el compromiso de ayudar a que clientes y vecindarios en todo el país prosperen.
Llama 3.1 8B Instruct (API),02,Clear Access Banking,Banco de Acceso Claro,Cuenta Clear Access Banking
Llama 3.1 8B Instruct (API),02,An account that helps you spend only what you have in it,Una cuenta que te ayuda a gastar solo lo que tienes en ella.,Una cuenta que le ayuda a gastar solo lo que tiene en ella
Llama 3.1 8B Instruct (API),02,Prime Checking,Verificación Primaria,Cuenta de Cheques Prime Checking
Llama 3.1 8B Instruct (API),02,Many discounts and benefits are included with this interest-bearing account,Muchos descuentos y beneficios están incluidos con este cuenta con interés.,Se incluyen muchos descuentos y beneficios con esta cuenta que produce intereses
Llama 3.1 8B Instruct (API),02,Everyday Checking,Verificación Diaria,Cuenta de Cheques Everyday Checking
Llama 3.1 8B Instruct (API),02,Our most popular account for managing day-to-day financial needs,Nuestra cuenta más popular para administrar las necesidades financieras diarias,Nuestra cuenta más popular para administrar las necesidades financieras diarias
Llama 3.1 8B Instruct (API),02,Premier Checking,Cuenta de Premier,Cuenta de Cheques Premier Checking
Llama 3.1 8B Instruct (API),02,An interest-bearing account with our premier level of relationship banking benefits,Cuenta con interés con nuestros beneficios de banca de relación a nivel premier,"Una cuenta que produce intereses, con nuestro nivel Premier de beneficios bancarios por relación"
Llama 3.1 8B Instruct (API),02,Student/teen banking,Bancos para estudiantes/adolescentes,Servicios bancarios para adolescentes y estudiantes
Llama 3.1 8B Instruct (API),02,Account options ideal for teens and students,Opciones de cuenta ideales para adolescentes y estudiantes,Opciones de cuentas ideales para adolescentes y estudiantes
Llama 3.1 8B Instruct (API),02,Way2Save® Savings,Ahorrar con Way2Save®,Cuenta de Ahorros Way2Save® Savings
Llama 3.1 8B Instruct (API),02,Build your savings automatically,Construye tus ahorros de manera automática,Construya sus ahorros automáticamente
Llama 3.1 8B Instruct (API),02,Platinum Savings,Ahorros de Platino,Cuenta de Ahorros Platinum Savings
Llama 3.1 8B Instruct (API),02,Grow your savings with more ways to access your money,Aumenta tus ahorros con más formas de acceder a tu dinero.,Haga crecer sus ahorros con más maneras de acceder a su dinero
Llama 3.1 8B Instruct (API),02,Wells Fargo CDs,Certificados de Depósito de Wells Fargo,Certificados de depósito (CD) de Wells Fargo
Llama 3.1 8B Instruct (API),02,"Provide a guaranteed rate of return, even during uncertain times","Ofrezca una tasa de retorno garantizada, incluso durante tiempos inciertos.","Ofrece una tasa de retorno garantizada, incluso en momentos de incertidumbre"
Llama 3.1 8B Instruct (API),02,Kids Savings,Ahorros de Niños,Ahorros para niños
Llama 3.1 8B Instruct (API),02,A good way to start your children on the road to financial success,Una buena manera de empezar a tus hijos en el camino hacia el éxito financiero.,Una buena manera de comenzar a guiar a sus hijos por el camino hacia el éxito financiero
Llama 3.1 8B Instruct (API),02,Cash back credit cards,Tarjetas de crédito con devolución de efectivo,Tarjetas de crédito de devolución en efectivo (cash back)
Llama 3.1 8B Instruct (API),02,Rewards credit cards,Tarjetas de crédito de recompensa,Tarjetas de crédito de recompensas
Llama 3.1 8B Instruct (API),02,0% intro APR credit cards,Tarjetas de crédito con 0% de interés de introducción,Tarjetas de crédito con tasa APR introductoria del 0%
Llama 3.1 8B Instruct (API),02,Travel credit cards,Tarjetas de crédito para viajar,Tarjetas de crédito para viajes
Llama 3.1 8B Instruct (API),02,Balance transfer credit cards,Tarjetas de crédito de transferencia de saldo,Tarjetas de crédito de transferencia de saldo
Llama 3.1 8B Instruct (API),02,Buy a home,Comprar una casa,Compre una vivienda
Llama 3.1 8B Instruct (API),02,Get started on your homeownership journey,Comience su viaje hacia la propiedad de su hogar.,Comience su camino para ser propietario de vivienda
Llama 3.1 8B Instruct (API),02,Refinance your mortgage,Refinanze su préstamo hipotecario,Refinancie su préstamo hipotecario
Llama 3.1 8B Instruct (API),02,"Do home repairs, reduce payments, or more","Haz reparaciones en casa, reduce pagos, o más","Haga reparaciones en la vivienda, reduzca los pagos o más"
Llama 3.1 8B Instruct (API),02,First-time home buyers,Compradores de casas para primeros hogares,Compradores de casa por primera vez
Llama 3.1 8B Instruct (API),02,See low down payment options and key steps,Ver opciones de pago mínimo y pasos clave,Consulte opciones de pago inicial bajo y pasos clave
Llama 3.1 8B Instruct (API),02,"You must be the primary account holder of an eligible Wells Fargo consumer account with a FICO® Score available, and enrolled in Wells Fargo Online®.","Debes ser el titular principal de una cuenta de consumo de Wells Fargo elegible con un puntaje FICO® disponible, y estar inscrito en Wells Fargo Online.","Usted debe ser el titular principal de una cuenta al consumidor de Wells Fargo elegible con una Puntuación FICO® Score disponible, y estar inscrito en la Banca por Internet Wells Fargo Online®."
Llama 3.1 8B Instruct (API),02,The assistance is provided at no cost.,La asistencia se proporciona de forma gratuita.,No se cobra ningún cargo por esta asistencia.
Llama 3.1 8B Instruct (API),02,Continue,Seguir adelante,Continúe
Llama 3.1 8B Instruct (API),02,Cancel,Anular,Cancele
Llama 3.1 8B Instruct (API),02,You are leaving the Wells Fargo website,Está saliendo del sitio web de Wells Fargo.,Está saliendo del sitio Web de Wells Fargo
Llama 3.1 8B Instruct (API),02,You are leaving wellsfargo.com and entering a website that Wells Fargo does not control.,Está saliendo de wells Fargo.com y entrando a un sitio web que Wells Fargo no controla.,Está saliendo de wellsfargo.com y está ingresando en un sitio Web que Wells Fargo no controla.
Llama 3.1 8B Instruct (API),02,"Wells Fargo has provided this link for your convenience, but does not endorse and is not responsible for the products, services, content, links, privacy policy, or security policy of this website.","Wells Fargo ha proporcionado este enlace para su conveniencia, pero no lo endosa ni es responsable de los productos, servicios, contenido, enlaces, política de privacidad o política de seguridad de este sitio web.","Wells Fargo ha proporcionado este enlace para su comodidad, pero no avala ni se hace responsable de los productos, los servicios, el contenido, los enlaces, la política de privacidad ni la política de seguridad de este sitio Web."
Llama 3.1 8B Instruct (API),02,"City, State or ZIP","Ciudad, Estado o Código Postal",Código postal o ciudad y estado
Llama 3.1 8B Instruct (API),02,Go,Vayan,Ir
Llama 3.1 8B Instruct (API),02,Tools,Herramientas,Herramientas
Llama 3.1 8B Instruct (API),02,Tips,Consejos,Sugerencias
Llama 3.1 8B Instruct (API),02,Peace of mind,Paz mental,Tranquilidad
Llama 3.1 8B Instruct (API),02,Get tools. Get tips. Get peace of mind.,Obtén herramientas. Obtén consejos. Obtén paz de mente.,Herramientas. Sugerencias. Tranquilidad.
Llama 3.1 8B Instruct (API),02,"Discover digital tools to help you budget, save, manage credit, and more","Descubre herramientas digitales para ayudarte a presupuestar, ahorrar, gestionar tu crédito y más.","Herramientas digitales para presupuestar, ahorrar, administrar el crédito y más"
Llama 3.1 8B Instruct (API),02,Access the toolkit,Acceda al kit de herramientas,Acceda el paquete de herramientas
Llama 3.1 8B Instruct (API),02,Wells Fargo Stories,Historias de Wells Fargo,Relatos de Wells Fargo
Llama 3.1 8B Instruct (API),02,BANKING SERVICES,SERVICIOS BANCARIOS,SERVICIOS BANCARIOS
Llama 3.1 8B Instruct (API),02,DIGITAL BANKING,BANCA DIGITAL,SERVICIOS BANCARIOS DIGITALES
Llama 3.1 8B Instruct (API),02,EDUCATION & TOOLS,EDUCACIÓN Y HERRAMIENTAS,EDUCACIÓN Y HERRAMIENTAS
Llama 3.1 8B Instruct (API),02,Compare checking accounts,Comparar cuentas de cheques,Compare las cuentas de cheques
Llama 3.1 8B Instruct (API),02,Savings & CDs,Ahorros y Certificados de Deposito,Ahorros y cuentas a plazo (CD)
Llama 3.1 8B Instruct (API),02,Credit Cards,Tarjetas de Crédito,Tarjetas de crédito
Llama 3.1 8B Instruct (API),02,Home Loans,Préstamos para la Vivienda,Préstamos hipotecarios
Llama 3.1 8B Instruct (API),02,Auto Loans,Préstamos para Automóviles,Préstamos para automóviles
Llama 3.1 8B Instruct (API),02,Investing,Inversión,Inversiones
Llama 3.1 8B Instruct (API),02,Small Business,Pequeña Empresa,Pequeñas empresas
Llama 3.1 8B Instruct (API),02,Commercial Banking,Banca Comercial,Banca comercial
Llama 3.1 8B Instruct (API),02,Sitemap,Mapa del sitio,Mapa del sitio
Llama 3.1 8B Instruct (API),02,About Wells Fargo,Sobre Wells Fargo,Acerca de Wells Fargo
Llama 3.1 8B Instruct (API),02,Careers,Carreras,Empleo
Llama 3.1 8B Instruct (API),02,Diversity and Accessibility,Diversidad y Accesibilidad,Diversidad y accesibilidad
Llama 3.1 8B Instruct (API),02,Our Wells Fargo Mobile® app gives you fast and secure access to your finances,Nuestra aplicación móvil de Wells Fargo® te da acceso rápido y seguro a tus finanzas.,Nuestra app de Wells Fargo Mobile® le ofrece acceso rápido y seguro a sus finanzas
Llama 3.1 8B Instruct (API),02,Check your account balance,Verifique su saldo de cuenta.,Consulte el saldo de su cuenta
Llama 3.1 8B Instruct (API),02,View your latest FICO® Score,Mira tu último puntaje FICO®,Vea su Puntuación FICO® Score más reciente
Llama 3.1 8B Instruct (API),02,Send and receive money with Zelle®,Envíe y reciba dinero con Zelle®,Envíe y reciba dinero con Zelle®
Llama 3.1 8B Instruct (API),02,Please note that the score provided under this service is for educational purposes and may not be the score used by Wells Fargo to make credit decisions.,Tenga en cuenta que la puntuación proporcionada bajo este servicio es con fines educativos y puede no ser la puntuación utilizada por Wells Fargo para tomar decisiones de crédito.,Tenga en cuenta que la puntuación proporcionada a través de este servicio es para fines educativos y es posible que no sea la puntuación utilizada por Wells Fargo para tomar decisiones de crédito.
Llama 3.1 8B Instruct (API),02,"Wells Fargo looks at many factors to determine your credit options; therefore, a specific FICO® Score or Wells Fargo credit rating does not guarantee a specific loan rate, approval of a loan, or an upgrade on a credit card.","Wells Fargo considera muchos factores para determinar sus opciones de crédito; por lo tanto, una puntuación FICO específica o una calificación de crédito de Wells Fargo no garantiza una tasa de préstamo específica, la aprobación de un préstamo o una actualización en una tarjeta de crédito.","Hay muchos factores que Wells Fargo analiza para determinar sus opciones de crédito; por lo tanto, una Puntuación FICO® Score o clasificación de crédito de Wells Fargo específicas no garantizan una tasa de préstamo específica, la aprobación de un préstamo o una mejora de categoría en una tarjeta de crédito."
